Name,Time,Comment
Naruto Mega,5 months ago,China tahu perang senjata sama Amerika Syarikat pasti kalah teruk. Strategi China kini melalui perdagangan seluruh Asia dan Eropah.
,,
Felis John,4 months ago (edited),"They supposed to be there already
Who  hold them up?"
,,
Hong,5 months ago,This is typical Chinese way: money can buy friends or even lovers.
,,
Rakasiwiii fiddihaq,5 months ago,"After WW2 USA use marshall plan to get influence, now they all fall apart
Now china use this to make influence, how long will this last?
Only after that we can know which one is more evil"
,,
Mohib Ahmed,1 year ago,"Make a video on how US is killing people in Afghanistan, Syria and Iraq in the name of War and how they are stealing their resources."
,,
lucke sam,4 weeks ago,"When wolf's  fights  
Sheeps survive"
,,
LEGOLLASS Al-JAYASINGA,2 weeks ago,Bisa aja dia nytak duit sendiri
,,
ShadowWolfTJC,2 months ago,"To any Americans whom still doubt China's rise to superpowerdom, ask yourselves this:


Which would you rather keep, your political freedoms, or your decadent prosperity?"
,,
Pramod Barathe,3 months ago (edited),"China : trade 
Real intention 1: trade surplus
Real intention 2: loans with high interest.
Real intention 3: failed to pay loan. Hand over me your land for 99 years.

Win win"
,,
nathan flossome,1 year ago,"America: Build that wall!!
China: Sure!.. Stay indoors while we take over everywhere else : )"
,,
Alperen 0485,4 months ago,4:50 so China is basically taking it all
,,
mo•mo•mo,3 months ago,ultimately they have done what credit card company's have and that's borrow something so high that they will never be able to pay it  back.
,,
PhantomXeropless,5 months ago,"China : Money
US : Millitary"
,,
JB JB,4 months ago,Its a good thing its time for china to step out of the shadows think about the technological growth and prosperity $$$ that. Would get us to the moon and beyond space travel every thing 🇨🇳 growth for the 🌎 they help a lot of people.
,,
Colin Chen,1 month ago,I love China ❤️
,,
miaomiao woo,6 months ago,"Great work 
Proud of you CHINA!!!"
,,
Benzmech,2 months ago,3:38 Thats not how serbia looks like on the map.
,,
Red Pink and twice,5 months ago,Silk road part 2
,,
s remax,1 year ago,"I love America but I am scared for our country. I am constantly hearing about how other countries are looking towards the future. Here, we are trying to bring back ""clean coal."" America has lost its identity. We don't know who we are or where we are going as a nation. That's why people talk about ""Make America Great Again"" and talk about the 1950s. American needs to innovate again as a nation. Forward thinking."
,,
Kurta Kurtovic,6 months ago,"3:39
You missing part of Serbia.
Kosovo is Serbia."
,,
Alan Kwark,5 months ago (edited),"Wait for some years, India will be in ""hold my beer"" mode.

Read history and you will see. Countries who rise second become super powers"
,,
glowingnut,5 months ago,"this is quite normal for a huge economy to find a way out for its massive production capacity, UK used guns and battleships, US used dollars and guns, why would someone talk trash on china's much more friendly move? i guess it is perhaps a lack of knowledge of history. go find a book and do some research on what the former super power UK and present super power US were doing when they were establishing their global power status. 


as for the debt trap BS, china is not forcing any country to join. if you chose to join, you pay for what you get. I don't see any problem in that and this is probably the essential norm of any country with a well-established law system, like most developed countries in the world."
,,
WAN CHENG OOI,1 month ago,"""BRI.""   TRADE FOR TRADE, RESPECT FOR RESPECT.
Isn't MULTILATERALISM so much better than UNILATERALISM ?"
,,
Lil Jack,1 year ago,I like the atlas series.
,,
Rj Bond,3 months ago,woe and behold the dragon from the east
,,
Fidel Jr Pasion,2 weeks ago,STOP CCP''s DECEIT . . .
,,
Randy Bobandy,1 month ago,B I G B R A I N T H I N G S
,,
Neethi vanan,1 month ago,Getting feared of an other super power
,,
vzgsxr,1 year ago,The USA is like the guy who cant win the running race - so it trips over everyone who tries to pass it.
,,
Nana,2 months ago (edited),"USA lost China :)
Maybe they can still be good friends if USA got a wise president which looking at long-term benefits of country.

Making friends always better than making enemies."
,,
Hamad Hussein,2 months ago,China made a deal with iraq last month and they will get 22 million barrels of oil per month for 2 years
,,
Anindhita kirana isa,12 hours ago,"@Vox,can you have information documentary about Indonesia?"
,,
Tony Abraham,2 months ago,Nope we got something in store for them. Wait for it..2020
,,
long hair dont care,1 year ago,America spends money on war .... China spends money on China
,,
Sunny Island,2 months ago,"The World's ""next"" Super Power?

It has already been this for nearly two decades."
,,
Haroon Hassan,4 months ago,If Afghanistan's War is stopped trading will be piece of cake for China
,,
Dexter Estacion,1 week ago,Natural Disaster:Im coming 21st Century
,,
Nick Guzi,3 months ago,Always knew a new form of colonialism would come back more efficient. Smart
,,
Canadian Prepper,1 year ago,China wrote the art of war and they are slowly executing it
,,
M K,4 months ago,I was enjoying this video until it got near the 4-minute mark and started editorializing.
,,
Not Available,5 months ago,String of Pearls theory @5:06
,,
NoobMaster 69,3 weeks ago,Why isnt Kosovo a part of Serbia on a map
,,
Hunts By Chainsaw,1 week ago,"China could be a great nation if they would just change their attitude, even a little bit."
,,
SEEZEE,1 year ago,I better start learning Mandarin then
,,
TheAsianOne WC,1 month ago,"In a way, what China does benefits the country which China's helping. But China always gets the most of it"
,,
Viktor Djordjevic,4 months ago,AhEm I aM fRoM tHe FuTuRe they made a highway in serbia to montenegro c:
,,
Smiling Sword,6 months ago,"I hope every Filipinos watch this. This is the reason why it is literally impossible to make the Chinese give up the West Philippines Sea.
Duterte is doing the right thing."
,,
bounlath hansackda,2 months ago,a continous 2219 years of experience business china vs a 70 years usa .technology wise they are even with china edging ahead.our ancestor country predicted a thousand years ago the red lord become ruler of the world while  alincan (usa) will test his power
,,
Ya boi Juan,1 year ago,Time to start learning Mandarin.
,,
1shoot100commies,5 months ago,"Jesus, sooooo many chinese trolls!!!!"
,,
pf t,5 days ago,呵呵
,,
Bones,4 months ago,"Silk Road #2,Electric Boogaloo"
,,
João Gabriel Massaro,4 months ago,"muito bom, meu amigo erick usa na faculdade para trabalhos da materia de sustentabilidade e inovaçao"
,,
Darryl Jackson,1 year ago,I feel like China is doing what we should be doing.
,,
clearly worded,6 months ago,One Belt Road = Less dependent on one major power and make trade easier across multiple countries.
,,
Tes Tos,3 months ago,"Amerikkka just bully everyone and expects their full cooperation, instead of working with them they are called names and get bombs dropped on their heads."
,,
Eric Benavidez,1 month ago,But you need to down load every thing g about every thing that happens in to days.  Life.
